hole_ID,x,y,z
S-23,549497.45,3624207.74,1271.02
S1,547834.93,3625198.85,1292.94
S12-1,550115.17,3623438.7,1356.97
S13-1,550074.94,3622786.25,1428.91
S2,547832.27,3625009.44,1245.05
S2-98-1,549755.19,3624897.63,1425.46
S3,547995.67,3625048.71,1292.26
SB-1,548979.45,3624144.62,1246.66
SB-2,548979.35,3624144.87,1246.63
SK-1-HN21,548964.71,3623309.75,1265.84
SK-2,548851.89,3623477.32,1252.43
SK-3,549155.87,3623135.78,1354.53
SK-4,549270.1,3623059.31,1363.37
SK-6,548971.23,3623139.21,1288.39
SK-7,549002.13,3622889.34,1365.2
SP1,547803.01,3623905.58,1168.91
SP10,547767.62,3623950.69,1138.43
SP12,547717.78,3624013.05,1138.43
SP2,547707.56,3624033.08,1168.91
SP3,547680.77,3624070.33,1168.91
SP4,547711.54,3624030.37,1168.91
SP6,547818.1,3623845.99,1138.43
SP7,547808.68,3623880.95,1138.43
SP8,547802.16,3623896.44,1138.43
SW1,547676.58,3624098.94,1168.91
SW2,547655.73,3624039.53,1168.91
SW3,547662.91,3623997.54,1168.91
UB-1R,547753.44,3624608.4,1230.21
UB-2R,547757.21,3624596.69,1229.8
UB-3R,547746.65,3624593.63,1230.18
UB-4R,547810.53,3624566.6,1219.83
UB-5R,547750.14,3624594.01,1230.31
UB-6R,547804.48,3624568.06,1220.62
UG1,547662.76,3623997.39,1167.39
UG2,547697.87,3624026.3,1167.39
UG3,547743.99,3624049.51,1167.39
UG4,547748.36,3623978.26,1168.91
UG5,547749.1,3623981.01,1167.39
UG6,547714.92,3624026.74,1167.39
UG7,547680.98,3624082.83,1168.91
UG8,547678.84,3624082.66,1168.91
UM-1,548412.09,3623719.03,1152.76
VIX-A,548402.56,3623705.35,1152.93
VIX24-2,548466.74,3623525.15,1275.66
VIX28-1,548466.73,3623525.78,1275.65
VIX28-2,548466.74,3623525.13,1275.66
VIX30-1,548466.73,3623525.78,1275.65
VIX32-1,548465.53,3623558.84,1274.8
VIX32-2,548462.41,3623559.46,1274.67
VIX32-3,548460.35,3623560.23,1274.61
VIX32_PLUS_1,548467.42,3623557.94,1275
VIX34-1,548465.53,3623558.84,1274.8
VIX34-2,548462.41,3623559.46,1274.67
VIX34_PLUS_1,548473.29,3623770.89,1156.55
VIX34_PLUS_5,548605.15,3623793.16,1163.27
VIX34_PLUS_7,548605.14,3623797.05,1163.39
VIX34_PLUS_9,548725.3,3623799.65,1169
VIX36-2,548423.5,3623741.79,1152.47
VIX36_PLUS_11,548730.51,3623795.4,1169.35
VIX36_PLUS_3,548480.75,3623771.67,1157.39
VIXTECH,548408.39,3623713.45,1152.98
WB-1R,548268.06,3624014.4,1317.26
WB-2R,548280.87,3624021.05,1317.78
WB-3R,548285.4,3624013.69,1317.71
WB-4R,548214.91,3623992.15,1321.06
WB-5R,548216.48,3623988.76,1320.98
WC-1,548222.58,3623757.6,1180.71
WC-2,548223.26,3623756.68,1182.03
