hole_ID,depth_from,depth_to,Ag_ppm,Al_ppm,As_ppm,Au_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_ppm,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_ppm,Ga_ppm,Ge_ppm,Hf_ppm,Hg_ppm,In_ppm,La_ppm,Li_ppm,Mg_ppm,Mn_ppm,Mo_ppm,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Pd_ppm,Pt_ppm,Rb_ppm,Re_ppm,S_ppm,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_ppm,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm
WWRC093,63,64,0,,9,0,30,0,3,,0,,64,906,,13,,10,,,,,0,,,1350,0,,464,190,2,0.014,0.017000001,,,,0,27,,,119,,,0,,0,0,175,0,,70,
WWRC093,64,65,0.60000002,,9,0.002,20,0,0,,0,,68,921,,55,,10,,,,,0,,,1370,0,,427,200,6,0.013,0.016000001,,,,0,30,,,161,,,0,,0,0,191,0,,70,
WWRC093,65,66,0.80000001,,10,0.001,20,0,0,,0,,66,999,,146,,10,,,,,0,,,1290,0,,464,190,0,0.014,0.012,,,,0,29,,,105,,,0,,0,0,176,0,,70,
WWRC093,66,67,0.60000002,,6,0,20,0,0,,0,,64,1040,,69,,10,,,,,0,,,1310,0,,457,190,0,0.014,0.013,,,,0,30,,,106,,,0,,0,0,181,0,,71,
WWRC093,67,68,0.60000002,,8,0,30,0,0,,0,,64,968,,75,,10,,,,,0,,,1290,0,,433,210,0,0.014,0.014,,,,0,33,,,212,,,0,,10,0,188,0,,68,
WWRC093,68,69,0.60000002,,12,0.001,20,0,0,,0,,72,1330,,59,,10,,,,,0,,,1390,0,,791,170,0,0.012,0.013,,,,0,25,,,41,,,0,,10,0,148,0,,80,
WWRC093,69,70,0.5,,10,0.001,0,0,0,,0,,76,1440,,58,,10,,,,,0,,,1390,0,,890,180,0,0.012,0.011,,,,0,28,,,32,,,0,,10,10,157,0,,77,
WWRC093,70,71,0.5,,11,0.003,20,0,0,,0,,71,1160,,38,,10,,,,,0,,,1300,0,,729,170,0,0.012,0.016000001,,,,0,27,,,33,,,0,,10,10,157,0,,69,
WWRC093,71,72,0.69999999,,24,0.001,40,0.5,0,,0,,58,1050,,39,,10,,,,,10,,,1110,0,,649,170,12,0.011,0.01,,,,0,23,,,64,,,0,,10,10,126,0,,68,
WWRC093,72,73,0.60000002,,10,0.005,0,0,0,,0,,72,1340,,106,,10,,,,,0,,,1380,0,,830,170,4,0.013,0.013,,,,0,25,,,21,,,0,,10,0,144,0,,65,
WWRC093,73,74,0.60000002,,5,0.008,10,0,2,,0,,72,1350,,65,,10,,,,,0,,,1280,0,,797,170,0,0.013,0.017000001,,,,0,28,,,29,,,0,,0,0,159,0,,66,
WWRC093,74,75,0,,10,0.001,10,0,0,,0,,71,1230,,15,,10,,,,,0,,,1230,0,,759,170,0,0.014,0.011,,,,0,25,,,30,,,0,,0,0,155,0,,64,
WWRC093,75,76,0.60000002,,114,0.01,0,0,4,,0,,78,1520,,76,,10,,,,,0,,,1170,0,,1070,140,0,0.011,0.014,,,,0,23,,,12,,,0,,0,0,131,0,,65,
WWRC093,76,77,0.5,,5,0.001,10,0,0,,0,,74,1460,,96,,10,,,,,0,,,1170,1,,812,160,0,0.01,0.011,,,,0,25,,,19,,,0,,0,0,145,0,,64,
